rate,author,title
9.2,作者:[美]艾萨克·阿西莫夫,基地
9.2,作者:[日]田中芳树,银河英雄传说
9.1,作者:[日]莫莉蓟野,猫城小事
9.2,作者:[伊朗]玛赞·莎塔碧,我在伊朗长大1
9.3,作者:錢穆,國史大綱（上下）
9.2,作者:费孝通,乡土中国生育制度
9.2,作者:鲁兵主编/朱延龄插图,365夜故事（上下）
9.2,作者:[美]艾萨克·阿西莫夫,基地与帝国
9.1,作者:顾准,顾准文集
9.2,作者:[美]米切尔,飘（全二册）
9.2,作者:[英]乔治·奥威尔,一九八四·动物农场
9.2,作者:（清）纳兰性德/赵秀亭（笺校）/冯统一（笺校）,飲水詞箋校
9.2,作者:[美]欧文·斯通,渴望生活
9.2,作者:（英）帕·林·特拉芙斯,随风而来的玛丽阿姨
9.0,作者:[哥伦比亚]加西亚·马尔克斯,霍乱时期的爱情
9.2,作者:[英]毛姆,月亮和六便士
9.1,作者:[美]G.伽莫夫,从一到无穷大
9.2,作者:(法)托克维尔,论美国的民主
8.9,作者:[法]托克维尔,旧制度与大革命
9.2,作者:(美)斯塔夫里阿诺斯,全球通史(上)
9.2,"作者:（美）斯塔夫里阿诺斯（Stavrianos,L.S.）",全球通史(下)
9.2,作者:曹天元,上帝掷骰子吗
9.1,作者:[奥]莱内·马利亚·里尔克,给青年诗人的信
9.1,作者:[英]王尔德,快乐王子
9.3,作者:[美]史蒂夫·迈克康奈尔,代码大全（第2版）
9.2,作者:StanleyB.Lippman/JoséeLaJoie/BarbaraE.Moo,C++Primer中文版（第4版）
9.2,作者:刘慈欣,三体Ⅱ
9.3,作者:[丹麦]金·弗珀兹·艾克松/文/[瑞典]爱娃·艾瑞克松/图,爷爷变成了幽灵
9.1,作者:[美]斯蒂芬·金,肖申克的救赎
9.1,作者:（丹麦）安徒生,安徒生童话故事集
9.2,作者:路遥,平凡的世界（全三册）
9.2,作者:三毛,撒哈拉的故事
9.3,作者:[美国]玛格丽特·米切尔,飘（上下）
9.2,作者:[明]罗贯中,三国演义（全二册）
9.1,作者:[英]王尔德,王尔德童话
9.0,作者:卡里·纪伯伦,先知
9.1,作者:[法]阿尔贝·加缪,加缪文集
9.1,作者:[英]瑞·蒙克,维特根斯坦传
9.2,作者:中国社会科学院语言研究所编,新华字典（1998年修订本）
9.2,作者:兰晓龙,我的团长我的团（上部）
9.1,作者:ElliotAronson,社会性动物
9.1,作者:[美]迈克尔·桑德尔,公正
9.1,作者:[美]ErichGamma/RichardHelm/RalphJohnson/JohnVlissides,设计模式
9.2,作者:（德）叔本华,人生的智慧
9.1,作者:[美]R·柯朗H·罗宾著/I·斯图尔特修订,什么是数学
9.2,作者:[晋]陈寿撰/[宋]裴松之注,三国志（全五册）
9.1,作者:杨显惠,夹边沟记事
9.1,作者:当年明月,明朝那些事儿（1-9）
9.2,作者:[奥］斯蒂芬・茨威格,昨日的世界
9.2,作者:萧涤非/等,唐诗鉴赏辞典
9.0,作者:幾米,星空
9.1,作者:[阿根廷]博尔赫斯,博尔赫斯小说集
9.0,作者:[美]彼得·海斯勒,江城
9.1,作者:安徒生,海的女儿
9.2,作者:[英]阿·柯南道尔,福尔摩斯探案全集（上中下）
9.0,作者:慕容引刀,让爱点亮
9.0,作者:[德]赫尔曼·黑塞,悉达多
9.1,作者:美国纽约摄影学院,美国纽约摄影学院摄影教材（上）
9.0,作者:EricS.Raymond,UNIX编程艺术
9.1,作者:[法国]马塞尔·普鲁斯特,追忆似水年华（上下册）
9.1,作者:[法]列维-斯特劳斯,忧郁的热带
9.1,作者:[美]埃里克·霍弗,狂热分子
9.1,作者:钱穆,中国历代政治得失
9.0,作者:[美]菲利普·科特勒/[美]凯文·莱恩·凯勒,营销管理
9.1,作者:谢尔・希尔弗斯坦,爱心树
9.1,作者:余华,活着
9.1,作者:尹建莉,好妈妈胜过好老师
9.2,作者:[伊朗]玛赞·莎塔碧,我在伊朗长大3
9.1,作者:[德]埃·奥·卜劳恩绘,父与子全集
9.0,作者:慕容引刀,被爱路过
9.1,作者:[日]莫莉蓟野,子猫絮语
9.2,作者:[英]乔治·奥威尔,动物农场
9.0,作者:王小波,沉默的大多数
9.0,作者:hans,阿狸·梦之城堡
9.1,作者:余华,活着
9.0,作者:[法]圣埃克苏佩里,小王子
9.1,作者:[日]东野圭吾,白夜行
9.0,作者:[英]阿加莎·克里斯蒂,东方快车谋杀案
9.0,作者:[英]奥斯丁,傲慢与偏见
9.0,作者:王小波,我的精神家园
9.1,作者:芭芭拉·德米克,我們最幸福
9.0,作者:林达,历史深处的忧虑
9.0,作者:[美]曼昆,经济学原理（上下）
9.0,出版社:少年儿童出版社,十万个为什么
9.0,作者:[奥]斯台芬·茨威格,象棋的故事
9.0,作者:王小波,沉默的大多数
9.0,作者:（日）东野圭吾,嫌疑人X的献身
8.9,作者:[日]莫莉蓟野,猫国物语
9.0,作者:[清]蒲松龄著/朱其铠等校注,全本新注聊斋志异（全三册）
9.0,作者:屈原,楚辞
8.9,作者:[美]威廉·曼彻斯特,光荣与梦想
8.8,作者:孙皓晖,大秦帝国
9.0,作者:[英]阿瑟·克拉克,2001太空漫游
8.9,作者:刘慈欣,流浪地球
9.0,作者:[美]特德·蒋,你一生的故事
8.9,作者:[美]丹尼尔·凯斯,献给阿尔吉侬的花束
8.9,作者:[美]肯·威尔伯,超越死亡
8.9,作者:[日]京极夏彦,络新妇之理（上）
9.1,作者:宫西达也,你看起来好像很好吃
9.1,作者:张乐平,三毛流浪记（全集）
9.0,作者:张乐平,三毛从军记全集
9.0,作者:[日]伊坂幸太郎,金色梦乡
9.0,作者:[美]彼得·海斯勒,寻路中国
9.1,作者:[法]米歇尔·福柯,规训与惩罚
9.0,作者:[英]毛姆,刀锋
8.8,作者:李娟,我的阿勒泰
8.9,作者:[古希腊]修昔底德,伯罗奔尼撒战争史
8.9,作者:王力编,中国古代文化常识
9.0,作者:章东磐,父亲的战场
8.9,作者:[日]安藤忠雄,建筑家安藤忠雄
8.9,作者:梁星乔编著,没有教不好的学生
9.0,作者:[美]丹·西蒙斯,海伯利安
9.0,作者:[俄]布尔加科夫,大师和玛格丽特
9.0,作者:林达,我也有一个梦想
9.0,作者:王国维,人间词话
8.9,作者:[美]马里奥·普佐,教父
9.0,出版社:中国基督教协会,圣经
9.1,作者:秦晖,传统十论
9.0,作者:[美]莉兹•克里莫,我可以咬一口吗
9.1,作者:[英]马丁•麦克多纳/汀布莱克•韦滕贝克/安东尼•尼尔逊/卡丽尔•丘琪尔,枕头人
9.2,作者:汪曾祺,受戒
9.1,作者:[英]肯·福莱特,巨人的陨落
9.0,作者:[美]安东尼·多尔,所有我们看不见的光
8.9,作者:张赞波,大路
8.9,作者:[美]布鲁诺·德·梅斯奎塔/[美]阿拉斯泰尔·史密斯,独裁者手册
9.0,作者:罗杰·克劳利(RogerCrowley),海洋帝国
9.1,作者:彼得·海斯勒,甲骨文
9.1,作者:宫西达也,我是霸王龙
9.2,作者:[美]哈珀·李,杀死一只知更鸟
9.0,作者:陈寅恪,柳如是别传（全三册）
9.0,作者:[法]克里斯多夫·夏布特（ChristopheChabouté）,灯塔
9.0,作者:三毛,万水千山走遍
9.1,作者:PhilipJ.Guo,ThePh.D.Grind
9.0,作者:（英）弗雷泽,金枝
9.1,作者:[日]三岛由纪夫,丰饶之海（上下）
9.5,作者:[英]J.R.R.托尔金,魔戒
9.1,作者:柏拉图,斐多
9.1,作者:顾城,顾城哲思录
9.1,作者:马克斯·韦伯,韦伯作品集Ⅻ:新教伦理与资本主义精神
9.0,作者:米兰Lady,孤城闭
9.3,作者:[明]王阳明撰,传习录
9.1,作者:StephenPrata/云巅工作室,CPrimerPlus
9.0,作者:[美]黄仁宇,万历十五年（增订本）
9.0,作者:(法)孟德斯鸠,论法的精神（上）
9.0,作者:费孝通,江村经济
9.4,作者:桔子樹,麒麟之与子同袍
9.1,作者:(英)王尔德,快乐王子
9.1,作者:李娟,羊道·深山夏牧场
9.1,作者:[俄]列夫·托尔斯泰,安娜·卡列尼娜
9.1,作者:李娟,羊道•前山夏牧场
9.5,作者:旋元佑,英语魔法师之语法俱乐部
9.3,作者:CharlesPetzold,编码的奥秘
9.0,作者:(日)三岛由纪夫,天人五衰
9.2,作者:李碧华,霸王别姬
9.1,作者:[奥]莱内·马利亚·里尔克,给青年诗人的信
9.1,作者:DouglasCrockford,JavaScript语言精粹
9.2,作者:[日]芥川龙之介,芥川龙之介全集
9.0,作者:TOBYSEGARAN,集体智慧编程
9.1,作者:阿城,棋王.樹王.孩子王
9.0,作者:（法）安德烈·巴赞,电影是什么？
9.1,作者:老舍,正红旗下
9.1,作者:(法)克利斯提昂.约里波瓦/文/(法)克利斯提昂.艾利施/图,我想去看海
9.0,作者:藤萍,香初上舞·终上
9.0,作者:藤萍,香初上舞·再上
9.6,作者:赖世雄,美语音标
9.1,作者:[英]毛姆,人生的枷锁
9.6,作者:金庸,金庸全集
9.0,作者:毛泽东,毛泽东选集第一卷
9.3,作者:陈鼓应注译,庄子今注今译（全三册）
9.0,作者:南怀瑾,庄子諵譁（下）
9.1,作者:鲁迅,故事新编
9.2,作者:汪曾祺,汪曾祺小说经典
9.1,作者:鸟哥,鸟哥的Linux私房菜
9.1,作者:[荷]文森特·凡高,亲爱的提奥
9.1,作者:夏宇,夏宇詩集／腹語術
9.2,作者:海子著/西川编,海子诗全集
9.1,作者:罗曼·罗兰,约翰·克利斯朵夫（共四册）
9.2,作者:（明）汤显祖著；徐朔方，杨笑杨校注,牡丹亭
9.1,作者:（英）阿诺德・汤因比,历史研究
9.0,作者:[德]赫尔曼·黑塞,德米安
9.0,作者:[苏]安德烈·塔可夫斯基,雕刻时光
9.3,作者:罗杰•霍克(RogerR.Hock),改变心理学的40项研究
